"","Run","Experiment","Sample.Name","SRA_study","BioProject","GEO_Accession..exp.","source_name","Strain","PAO1","PA14","PAK","ClinicalIsolate"
"2364","SRR6833334","SRX3789404","Rn_PA14_Invitro_Antimicrobials_2015_JLM_KAN_1","SRP135669","PRJNA437845","","","PA14",FALSE,TRUE,FALSE,FALSE
"2365","SRR6833337","SRX3789401","Rn_PA14_Invitro_Antimicrobials_2015_JLM_NAL_2","SRP135669","PRJNA437845","","","PA14",FALSE,TRUE,FALSE,FALSE
"2366","SRR6833338","SRX3789418","Pascfm7_2_S8_R1_001","SRP135669","PRJNA437845","","","PA14",FALSE,TRUE,FALSE,FALSE
"2367","SRR6833339","SRX3789400","Rn_PA14_Invitro_Antimicrobials_2015_JLM_NAL_1","SRP135669","PRJNA437845","","","PA14",FALSE,TRUE,FALSE,FALSE
"2368","ERR2437280","ERX2456848","SAMEA104710846","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2369","ERR2437281","ERX2456849","SAMEA104710847","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2370","ERR2437282","ERX2456850","SAMEA104710848","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2371","ERR2437286","ERX2456854","SAMEA104710852","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2372","ERR2437287","ERX2456855","SAMEA104710853","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2373","ERR2437291","ERX2456859","SAMEA104710857","ERP107614","PRJEB25674","","","",TRUE,FALSE,FALSE,FALSE
"2374","SRR5602455","SRX2855034","Panchvalkal treated Pseudomonas","SRP108003","PRJNA386078","","","",FALSE,FALSE,FALSE,FALSE
"2375","SRR5602456","SRX2855033","Panchvalkal treated Pseudomonas","SRP108003","PRJNA386078","","","",FALSE,FALSE,FALSE,FALSE
"2376","SRR6214994","SRX3323668","CDI2","SRP121399","PRJNA394520","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2377","SRR6214995","SRX3323667","CDI1CDI2","SRP121399","PRJNA394520","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2378","SRR6214996","SRX3323666","PAO1","SRP121399","PRJNA394520","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2379","SRR6214997","SRX3323665","CDI1","SRP121399","PRJNA394520","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2380","SRR6215441","SRX3324112","GSM2830243","SRP121405","PRJNA415714","GSM2830243","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
