"","X1","X2"
"AAG03558","AAG03558","PA0168"
"AAG03559","AAG03559","PA0169"
"AAG03560","AAG03560","PA0170"
"AAG03561","AAG03561","PA0171"
"AAG03562","AAG03562","PA0172"
"AAG03563","AAG03563","PA0173"
"AAG03564","AAG03564","PA0174"
"AAG03565","AAG03565","PA0175"
"AAG03566","AAG03566","PA0176"
"AAG03567","AAG03567","PA0177"
"AAG03568","AAG03568","PA0178"
"AAG03569","AAG03569","PA0179"
"AAG03570","AAG03570","PA0180"
"AAG03571","AAG03571","PA0181"
"AAG03572","AAG03572","PA0182"
"AAG03573","AAG03573","PA0183"
"AAG03574","AAG03574","PA0184"
"AAG03575","AAG03575","PA0185"
"AAG03576","AAG03576","PA0186"
"AAG03577","AAG03577","PA0187"
"AAG03578","AAG03578","PA0188"
"AAG03579","AAG03579","PA0189"
"AAG03580","AAG03580","PA0190"
"AAG03581","AAG03581","PA0191"
"AAG03582","AAG03582","PA0192"
"AAG03583","AAG03583","PA0193"
"AAG03584","AAG03584","PA0194"
"ABG56537","ABG56537","PA0195"
"ABG56539","ABG56539","PA0195.1"
"AAG03585","AAG03585","PA0196"
"AAG03586","AAG03586","PA0197"
"AAG03587","AAG03587","PA0198"
"AAG03588","AAG03588","PA0199"
"AAG03589","AAG03589","PA0200"
"AAG03590","AAG03590","PA0201"
"AAG03591","AAG03591","PA0202"
"AAG03592","AAG03592","PA0203"
"AAG03593","AAG03593","PA0204"
"AAG03594","AAG03594","PA0205"
"AAG03595","AAG03595","PA0206"
"AAG03596","AAG03596","PA0207"
"AAG03597","AAG03597","PA0208"
"AAG03598","AAG03598","PA0209"
"AAG03599","AAG03599","PA0210"
"AAG03600","AAG03600","PA0211"
"AAG03601","AAG03601","PA0212"
"AAG03602","AAG03602","PA0213"
"AAG03603","AAG03603","PA0214"
"AAG03604","AAG03604","PA0215"
"AAG03605","AAG03605","PA0216"
"AAG03606","AAG03606","PA0217"
"AAG03607","AAG03607","PA0218"
"AAG03608","AAG03608","PA0219"
"AAG03609","AAG03609","PA0220"
"AAG03610","AAG03610","PA0221"
"AAG03611","AAG03611","PA0222"
"AAG03612","AAG03612","PA0223"
"AAG03613","AAG03613","PA0224"
"AAG03614","AAG03614","PA0225"
"AAG03615","AAG03615","PA0226"
"AAG03616","AAG03616","PA0227"
"AAG03617","AAG03617","PA0228"
"AAG03618","AAG03618","PA0229"
"AAG03619","AAG03619","PA0230"
"AAG03620","AAG03620","PA0231"
"AAG03621","AAG03621","PA0232"
"AAG03622","AAG03622","PA0233"
"AAG03623","AAG03623","PA0234"
"AAG03624","AAG03624","PA0235"
"AAG03625","AAG03625","PA0236"
"AAG03626","AAG03626","PA0237"
"AAG03627","AAG03627","PA0238"
"AAG03628","AAG03628","PA0239"
"AAG03629","AAG03629","PA0240"
