"","X1","X2"
"AAG04121","AAG04121","PA0732"
"AAG04122","AAG04122","PA0733"
"AAG04123","AAG04123","PA0734"
"AAG04124","AAG04124","PA0735"
"AAG04125","AAG04125","PA0736"
"AAG04126","AAG04126","PA0737"
"AAG04127","AAG04127","PA0738"
"AAG04128","AAG04128","PA0739"
"AAG04129","AAG04129","PA0740"
"AAG04130","AAG04130","PA0741"
"AAG04131","AAG04131","PA0742"
"AAG04132","AAG04132","PA0743"
"AAG04133","AAG04133","PA0744"
"AAG04134","AAG04134","PA0745"
"AAG04135","AAG04135","PA0746"
"AAG04136","AAG04136","PA0747"
"AAG04138","AAG04138","PA0749"
"AAG04139","AAG04139","PA0750"
"AAG04140","AAG04140","PA0751"
"AAG04141","AAG04141","PA0752"
"AAG04142","AAG04142","PA0753"
"AAG04143","AAG04143","PA0754"
"AAG04144","AAG04144","PA0755"
"AAG04145","AAG04145","PA0756"
"AAG04146","AAG04146","PA0757"
"AAG04147","AAG04147","PA0758"
"AAG04148","AAG04148","PA0759"
"AAG04149","AAG04149","PA0760"
"AAG04150","AAG04150","PA0761"
"AAG04151","AAG04151","PA0762"
"AAG04152","AAG04152","PA0763"
"AAG04153","AAG04153","PA0764"
"AAG04154","AAG04154","PA0765"
"AAG04155","AAG04155","PA0766"
"AAG04156","AAG04156","PA0767"
"AAG04157","AAG04157","PA0768"
"AAG04158","AAG04158","PA0769"
"AAG04159","AAG04159","PA0770"
"AAG04160","AAG04160","PA0771"
"AAG04161","AAG04161","PA0772"
"AAG04162","AAG04162","PA0773"
"AAG04163","AAG04163","PA0774"
"AAG04164","AAG04164","PA0775"
"AAG04165","AAG04165","PA0776"
"AAG04166","AAG04166","PA0777"
"AAG04167","AAG04167","PA0778"
"AAG04168","AAG04168","PA0779"
"AAG04169","AAG04169","PA0780"
"AAG04170","AAG04170","PA0781"
"AAG04171","AAG04171","PA0782"
"AAG04172","AAG04172","PA0783"
"AAG04173","AAG04173","PA0784"
"AAG04174","AAG04174","PA0785"
"AAG04175","AAG04175","PA0786"
"AAG04176","AAG04176","PA0787"
"AAG04177","AAG04177","PA0788"
"AAG04178","AAG04178","PA0789"
"AAG04179","AAG04179","PA0790"
"AAG04180","AAG04180","PA0791"
"AAG04181","AAG04181","PA0792"
"AAG04182","AAG04182","PA0793"
"AAG04183","AAG04183","PA0794"
"AAG04184","AAG04184","PA0795"
"AAG04185","AAG04185","PA0796"
"AAG04186","AAG04186","PA0797"
"AAG04187","AAG04187","PA0798"
"AAG04188","AAG04188","PA0799"
"AAG04189","AAG04189","PA0800"
"AAG04190","AAG04190","PA0801"
"AAG04191","AAG04191","PA0802"
"AAG04192","AAG04192","PA0803"
"AAG04193","AAG04193","PA0804"
"AAG04194","AAG04194","PA0805"
"AAG04195","AAG04195","PA0806"
"AAG04196","AAG04196","PA0807"
"AAG04197","AAG04197","PA0808"
"AAG04198","AAG04198","PA0809"
"AAG04199","AAG04199","PA0810"
"AAG04200","AAG04200","PA0811"
"AAG04201","AAG04201","PA0812"
"AAG04202","AAG04202","PA0813"
"AAG04203","AAG04203","PA0814"
"AAG04204","AAG04204","PA0815"
"AAG04205","AAG04205","PA0816"
"AAG04206","AAG04206","PA0817"
"AAG04207","AAG04207","PA0818"
"AAG04208","AAG04208","PA0819"
"AAG04209","AAG04209","PA0820"
"AAG04210","AAG04210","PA0821"
"AAG04211","AAG04211","PA0822"
"AAG04212","AAG04212","PA0823"
"AAG04213","AAG04213","PA0824"
"AAG04214","AAG04214","PA0825"
"AAG04215","AAG04215","PA0826"
"AAO42616","AAO42616","PA0826.1"
"AAG04216","AAG04216","PA0827"
"AAG04217","AAG04217","PA0828"
"AAG04218","AAG04218","PA0829"
"AAG04219","AAG04219","PA0830"
"AAG04220","AAG04220","PA0831"
"AAG04221","AAG04221","PA0832"
"AAG04222","AAG04222","PA0833"
"AAG04223","AAG04223","PA0834"
"AAG04224","AAG04224","PA0835"
"AAG04225","AAG04225","PA0836"
"AAG04226","AAG04226","PA0837"
"AAG04227","AAG04227","PA0838"
"AAG04228","AAG04228","PA0839"
"AAG04229","AAG04229","PA0840"
"AAG04230","AAG04230","PA0841"
"AAG04231","AAG04231","PA0842"
"AAG04232","AAG04232","PA0843"
"AAG04233","AAG04233","PA0844"
"AAG04234","AAG04234","PA0845"
"AAG04235","AAG04235","PA0846"
"AAG04236","AAG04236","PA0847"
"AAG04237","AAG04237","PA0848"
"AAG04238","AAG04238","PA0849"
"AAG04239","AAG04239","PA0850"
"AAG04240","AAG04240","PA0851"
"AAG04241","AAG04241","PA0852"
"AAG04242","AAG04242","PA0853"
"AAG04243","AAG04243","PA0854"
"AAG04244","AAG04244","PA0855"
"AAG04245","AAG04245","PA0856"
"AAG04246","AAG04246","PA0857"
"AAG04247","AAG04247","PA0858"
"AAG04248","AAG04248","PA0859"
"AAG04249","AAG04249","PA0860"
"AAG04250","AAG04250","PA0861"
"AAG04251","AAG04251","PA0862"
"AAG04252","AAG04252","PA0863"
"AAG04253","AAG04253","PA0864"
"AAG04254","AAG04254","PA0865"
"AAG04255","AAG04255","PA0866"
"AAG04256","AAG04256","PA0867"
"AAG04257","AAG04257","PA0868"
"AAG04258","AAG04258","PA0869"
"AAG04259","AAG04259","PA0870"
"AAG04260","AAG04260","PA0871"
"AAG04261","AAG04261","PA0872"
"AAG04262","AAG04262","PA0873"
"AAG04263","AAG04263","PA0874"
"AAG04264","AAG04264","PA0875"
"AAG04265","AAG04265","PA0876"
"AAG04266","AAG04266","PA0877"
"AAG04267","AAG04267","PA0878"
"AAG04268","AAG04268","PA0879"
"AAG04269","AAG04269","PA0880"
"AAG04270","AAG04270","PA0881"
"AAG04271","AAG04271","PA0882"
"AAG04272","AAG04272","PA0883"
"AAG04273","AAG04273","PA0884"
"AAG04274","AAG04274","PA0885"
"AAG04275","AAG04275","PA0886"
"AAG04276","AAG04276","PA0887"
"AAG04277","AAG04277","PA0888"
"AAG04278","AAG04278","PA0889"
"AAG04279","AAG04279","PA0890"
"AAG04280","AAG04280","PA0891"
"AAG04281","AAG04281","PA0892"
"AAG04282","AAG04282","PA0893"
"AAG04283","AAG04283","PA0894"
"AAG04284","AAG04284","PA0895"
"AAG04285","AAG04285","PA0896"
"AAG04286","AAG04286","PA0897"
"AAG04287","AAG04287","PA0898"
"AAG04288","AAG04288","PA0899"
"AAG04289","AAG04289","PA0900"
"AAG04290","AAG04290","PA0901"
"AAG04291","AAG04291","PA0902"
"AAG04292","AAG04292","PA0903"
"AAG04293","AAG04293","PA0904"
"AAG04294","AAG04294","PA0905"
"AAG04295","AAG04295","PA0906"
"AAG04296","AAG04296","PA0907"
"AAG04297","AAG04297","PA0908"
"AAG04298","AAG04298","PA0909"
"AAG04299","AAG04299","PA0910"
"AAG04300","AAG04300","PA0911"
"AAG04301","AAG04301","PA0912"
"AAG04302","AAG04302","PA0913"
"AAG04303","AAG04303","PA0914"
"AAG04304","AAG04304","PA0915"
"AAG04305","AAG04305","PA0916"
"AAG04306","AAG04306","PA0917"
"AAG04307","AAG04307","PA0918"
"AAG04308","AAG04308","PA0919"
"AAG04309","AAG04309","PA0920"
"AAG04310","AAG04310","PA0921"
"AAG04311","AAG04311","PA0922"
"AAG04312","AAG04312","PA0923"
"AAG04313","AAG04313","PA0924"
"AAG04314","AAG04314","PA0925"
"AAG04315","AAG04315","PA0926"
"AAG04316","AAG04316","PA0927"
"AAG04317","AAG04317","PA0928"
"AAG04318","AAG04318","PA0929"
"AAG04319","AAG04319","PA0930"
"AAG04320","AAG04320","PA0931"
"AAG04321","AAG04321","PA0932"
"AAG04322","AAG04322","PA0933"
"AAG04323","AAG04323","PA0934"
"AAG04324","AAG04324","PA0935"
"AAG04325","AAG04325","PA0936"
"AAG04326","AAG04326","PA0937"
"AAG04327","AAG04327","PA0938"
"AAG04328","AAG04328","PA0939"
"AAG04329","AAG04329","PA0940"
"AAG04330","AAG04330","PA0941"
"AAG04331","AAG04331","PA0942"
"AAG04332","AAG04332","PA0943"
"AAG04333","AAG04333","PA0944"
"AAG04334","AAG04334","PA0945"
"AAG04335","AAG04335","PA0946"
"AAG04336","AAG04336","PA0947"
"AAG04337","AAG04337","PA0948"
"AAG04338","AAG04338","PA0949"
"AAG04339","AAG04339","PA0950"
"AAG04340","AAG04340","PA0951"
"AAG04341","AAG04341","PA0952"
"AAG04342","AAG04342","PA0953"
"AAG04343","AAG04343","PA0954"
"AAG04344","AAG04344","PA0955"
"AAG04345","AAG04345","PA0956"
"AAG04346","AAG04346","PA0957"
"AAG04347","AAG04347","PA0958"
"AAG04348","AAG04348","PA0959"
"AAG04349","AAG04349","PA0960"
"AAG04350","AAG04350","PA0961"
"AAG04351","AAG04351","PA0962"
"AAG04352","AAG04352","PA0963"
"AAG04353","AAG04353","PA0964"
"AAG04354","AAG04354","PA0965"
"AAG04355","AAG04355","PA0966"
"AAG04356","AAG04356","PA0967"
"AAG04357","AAG04357","PA0968"
"AAG04358","AAG04358","PA0969"
"AAG04359","AAG04359","PA0970"
"AAG04360","AAG04360","PA0971"
"AAG04361","AAG04361","PA0972"
"AAG04362","AAG04362","PA0973"
"AAG04363","AAG04363","PA0974"
"AAG04364","AAG04364","PA0975"
"AAG04365","AAG04365","PA0976"
"AAG04366","AAG04366","PA0977"
"AAG04367","AAG04367","PA0978"
"AAG04368","AAG04368","PA0979"
"AAG04369","AAG04369","PA0980"
"AAG04370","AAG04370","PA0981"
"AAG04371","AAG04371","PA0982"
"AAG04372","AAG04372","PA0983"
"AAG04373","AAG04373","PA0984"
"AAG04374","AAG04374","PA0985"
"AAG04375","AAG04375","PA0986"
"AAG04376","AAG04376","PA0987"
"AAG04377","AAG04377","PA0988"
"AAG04378","AAG04378","PA0989"
"AAG04379","AAG04379","PA0990"
"AAG04380","AAG04380","PA0991"
"AAG04381","AAG04381","PA0992"
"AAG04382","AAG04382","PA0993"
"AAG04383","AAG04383","PA0994"
"AAG04384","AAG04384","PA0995"
"AAG04385","AAG04385","PA0996"
"AAG04386","AAG04386","PA0997"
"AAG04387","AAG04387","PA0998"
"AAG04388","AAG04388","PA0999"
"AAG04389","AAG04389","PA1000"
"AAG04390","AAG04390","PA1001"
"AAG04391","AAG04391","PA1002"
"AAG04392","AAG04392","PA1003"
"AAG04393","AAG04393","PA1004"
"AAG04394","AAG04394","PA1005"
"AAG04395","AAG04395","PA1006"
"AAG04396","AAG04396","PA1007"
"AAG04397","AAG04397","PA1008"
"AAG04398","AAG04398","PA1009"
"AAG04399","AAG04399","PA1010"
"AAG04400","AAG04400","PA1011"
"AAG04401","AAG04401","PA1012"
"AAG04402","AAG04402","PA1013"
"AAG04403","AAG04403","PA1014"
"AAG04404","AAG04404","PA1015"
"AAG04405","AAG04405","PA1016"
"AAG04406","AAG04406","PA1017"
"AAG04407","AAG04407","PA1018"
"AAG04408","AAG04408","PA1019"
"AAG04409","AAG04409","PA1020"
"AAG04410","AAG04410","PA1021"
"AAG04411","AAG04411","PA1022"
"AAG04412","AAG04412","PA1023"
"AAG04413","AAG04413","PA1024"
"AAG04414","AAG04414","PA1025"
"AAG04415","AAG04415","PA1026"
"AAG04416","AAG04416","PA1027"
"AAG04417","AAG04417","PA1028"
"AAG04418","AAG04418","PA1029"
"AAG04419","AAG04419","PA1030"
"AAG04420","AAG04420","PA1031"
"AAG04421","AAG04421","PA1032"
"AAG04422","AAG04422","PA1033"
"AAG04423","AAG04423","PA1034"
"AAG04424","AAG04424","PA1035"
"AAG04425","AAG04425","PA1036"
"AAG04426","AAG04426","PA1037"
"AAG04427","AAG04427","PA1038"
"AAG04428","AAG04428","PA1039"
"AAG04429","AAG04429","PA1040"
"AAG04430","AAG04430","PA1041"
"AAG04431","AAG04431","PA1042"
"AAG04432","AAG04432","PA1043"
"AAG04433","AAG04433","PA1044"
"AAG04434","AAG04434","PA1045"
"AAG04435","AAG04435","PA1046"
"AAG04436","AAG04436","PA1047"
"AAG04437","AAG04437","PA1048"
"AAG04438","AAG04438","PA1049"
"AAG04439","AAG04439","PA1050"
"AAG04440","AAG04440","PA1051"
"AAG04441","AAG04441","PA1052"
"AAG04442","AAG04442","PA1053"
"AAG04443","AAG04443","PA1054"
"AAG04444","AAG04444","PA1055"
"AAG04445","AAG04445","PA1056"
"AAG04446","AAG04446","PA1057"
"AAG04447","AAG04447","PA1058"
"AAG04448","AAG04448","PA1059"
"AAG04449","AAG04449","PA1060"
"AAG04450","AAG04450","PA1061"
"AAG04451","AAG04451","PA1062"
"AAG04452","AAG04452","PA1063"
"AAG04453","AAG04453","PA1064"
"AAG04454","AAG04454","PA1065"
"AAG04455","AAG04455","PA1066"
"AAG04456","AAG04456","PA1067"
"AAG04457","AAG04457","PA1068"
"AAG04458","AAG04458","PA1069"
"AAG04459","AAG04459","PA1070"
"AAG04460","AAG04460","PA1071"
"AAG04461","AAG04461","PA1072"
"AAG04462","AAG04462","PA1073"
"AAG04463","AAG04463","PA1074"
"AAG04464","AAG04464","PA1075"
"AAG04465","AAG04465","PA1076"
"AAG04466","AAG04466","PA1077"
"AAG04467","AAG04467","PA1078"
"AAG04468","AAG04468","PA1079"
"AAG04469","AAG04469","PA1080"
"AAG04470","AAG04470","PA1081"
"AAG04471","AAG04471","PA1082"
"AAG04472","AAG04472","PA1083"
"AAG04473","AAG04473","PA1084"
"AAG04474","AAG04474","PA1085"
"AAG04475","AAG04475","PA1086"
"AAG04476","AAG04476","PA1087"
"AAG04477","AAG04477","PA1088"
"AAG04478","AAG04478","PA1089"
"AAG04479","AAG04479","PA1090"
"AAG04480","AAG04480","PA1091"
"AAG04481","AAG04481","PA1092"
"AAG04482","AAG04482","PA1093"
"AAG04483","AAG04483","PA1094"
"AAG04484","AAG04484","PA1095"
"AAG04485","AAG04485","PA1096"
"AAG04486","AAG04486","PA1097"
"AAG04487","AAG04487","PA1098"
"AAG04488","AAG04488","PA1099"
"AAG04489","AAG04489","PA1100"
"AAG04490","AAG04490","PA1101"
"AAG04491","AAG04491","PA1102"
"AAG04492","AAG04492","PA1103"
"AAG04493","AAG04493","PA1104"
"AAG04494","AAG04494","PA1105"
"AAG04495","AAG04495","PA1106"
"AAG04496","AAG04496","PA1107"
"AAG04497","AAG04497","PA1108"
"AAG04498","AAG04498","PA1109"
"AAG04499","AAG04499","PA1110"
"AAG04500","AAG04500","PA1111"
"AAG04501","AAG04501","PA1112"
"AAG04502","AAG04502","PA1113"
"AAG04503","AAG04503","PA1114"
"AAG04504","AAG04504","PA1115"
"AAG04505","AAG04505","PA1116"
"AAG04506","AAG04506","PA1117"
"AAG04507","AAG04507","PA1118"
"AAG04508","AAG04508","PA1119"
"AAG04509","AAG04509","PA1120"
"AAG04510","AAG04510","PA1121"
"AAG04511","AAG04511","PA1122"
"AAG04512","AAG04512","PA1123"
"AAG04513","AAG04513","PA1124"
"AAG04514","AAG04514","PA1125"
"AAG04515","AAG04515","PA1126"
"AAG04516","AAG04516","PA1127"
"AAG04517","AAG04517","PA1128"
"AAG04518","AAG04518","PA1129"
"AAG04519","AAG04519","PA1130"
"AAG04520","AAG04520","PA1131"
"AAG04521","AAG04521","PA1132"
"AAG04522","AAG04522","PA1133"
"AAG04523","AAG04523","PA1134"
"AAG04524","AAG04524","PA1135"
"AAG04525","AAG04525","PA1136"
"AAG04526","AAG04526","PA1137"
"AAG04527","AAG04527","PA1138"
"AAG04528","AAG04528","PA1139"
"AAG04529","AAG04529","PA1140"
"AAG04530","AAG04530","PA1141"
"AAG04531","AAG04531","PA1142"
"AAG04532","AAG04532","PA1143"
"AAG04533","AAG04533","PA1144"
"AAG04534","AAG04534","PA1145"
"AAG04535","AAG04535","PA1146"
"AAG04536","AAG04536","PA1147"
"AAG04537","AAG04537","PA1148"
"AAG04538","AAG04538","PA1149"
"AAG04539","AAG04539","PA1150"
"AAG04540","AAG04540","PA1151"
"AAG04541","AAG04541","PA1152"
"AAG04542","AAG04542","PA1153"
"AAG04543","AAG04543","PA1154"
"AAG04544","AAG04544","PA1155"
"AAG04545","AAG04545","PA1156"
"AAG04546","AAG04546","PA1157"
"AAG04547","AAG04547","PA1158"
"AAG04548","AAG04548","PA1159"
"AAG04549","AAG04549","PA1160"
"AAG04550","AAG04550","PA1161"
"AAG04551","AAG04551","PA1162"
"AAG04552","AAG04552","PA1163"
"AAG04553","AAG04553","PA1164"
"AAG04554","AAG04554","PA1165"
"AAG04555","AAG04555","PA1166"
"AAG04556","AAG04556","PA1167"
"AAG04557","AAG04557","PA1168"
"AAG04558","AAG04558","PA1169"
"AAG04559","AAG04559","PA1170"
"AAG04560","AAG04560","PA1171"
"AAG04561","AAG04561","PA1172"
"AAG04562","AAG04562","PA1173"
"AAG04563","AAG04563","PA1174"
"AAG04564","AAG04564","PA1175"
"AAG04565","AAG04565","PA1176"
"AAG04566","AAG04566","PA1177"
"AAG04567","AAG04567","PA1178"
"AAG04568","AAG04568","PA1179"
"AAG04569","AAG04569","PA1180"
"AAG04570","AAG04570","PA1181"
"AAG04571","AAG04571","PA1182"
"AAG04572","AAG04572","PA1183"
"AAG04573","AAG04573","PA1184"
"AAG04574","AAG04574","PA1185"
"AAG04575","AAG04575","PA1186"
"AAG04576","AAG04576","PA1187"
"AAG04577","AAG04577","PA1188"
"AAG04578","AAG04578","PA1189"
"AAG04579","AAG04579","PA1190"
"AAG04580","AAG04580","PA1191"
"AAG04581","AAG04581","PA1192"
"AAG04582","AAG04582","PA1193"
"AAG04583","AAG04583","PA1194"
"AAG04584","AAG04584","PA1195"
"AAG04585","AAG04585","PA1196"
"AAG04586","AAG04586","PA1197"
"AAG04587","AAG04587","PA1198"
"AAG04588","AAG04588","PA1199"
"AAG04589","AAG04589","PA1200"
"AAG04590","AAG04590","PA1201"
"AAG04591","AAG04591","PA1202"
"AAG04592","AAG04592","PA1203"
"AAG04593","AAG04593","PA1204"
"AAG04594","AAG04594","PA1205"
"AAG04595","AAG04595","PA1206"
"AAG04596","AAG04596","PA1207"
"AAG04597","AAG04597","PA1208"
"AAG04598","AAG04598","PA1209"
"AAG04599","AAG04599","PA1210"
"AAG04600","AAG04600","PA1211"
"AAG04601","AAG04601","PA1212"
"AAG04602","AAG04602","PA1213"
"AAG04603","AAG04603","PA1214"
"AAG04604","AAG04604","PA1215"
"AAG04605","AAG04605","PA1216"
"AAG04606","AAG04606","PA1217"
"AAG04607","AAG04607","PA1218"
"AAG04608","AAG04608","PA1219"
"AAG04609","AAG04609","PA1220"
"AAG04610","AAG04610","PA1221"
"AAG04611","AAG04611","PA1222"
"AAG04612","AAG04612","PA1223"
"AAG04613","AAG04613","PA1224"
"AAG04614","AAG04614","PA1225"
"AAG04615","AAG04615","PA1226"
"AAG04616","AAG04616","PA1227"
"AAG04617","AAG04617","PA1228"
"AAG04618","AAG04618","PA1229"
"AAG04619","AAG04619","PA1230"
"AAG04620","AAG04620","PA1231"
"AAG04621","AAG04621","PA1232"
"AAG04622","AAG04622","PA1233"
"AAG04623","AAG04623","PA1234"
"AAG04624","AAG04624","PA1235"
"AAG04625","AAG04625","PA1236"
"AAG04626","AAG04626","PA1237"
"AAG04627","AAG04627","PA1238"
"AAG04628","AAG04628","PA1239"
"AAG04629","AAG04629","PA1240"
"AAG04630","AAG04630","PA1241"
"AAG04631","AAG04631","PA1242"
"AAG04632","AAG04632","PA1243"
"AAG04633","AAG04633","PA1244"
"AAG04634","AAG04634","PA1245"
"AAG04635","AAG04635","PA1246"
"AAG04636","AAG04636","PA1247"
"AAG04637","AAG04637","PA1248"
"AAG04638","AAG04638","PA1249"
"AAG04639","AAG04639","PA1250"
"AAG04640","AAG04640","PA1251"
"AAG04641","AAG04641","PA1252"
"AAG04642","AAG04642","PA1253"
"AAG04643","AAG04643","PA1254"
"AAG04644","AAG04644","PA1255"
"AAG04645","AAG04645","PA1256"
"AAG04646","AAG04646","PA1257"
"AAG04647","AAG04647","PA1258"
"AAG04648","AAG04648","PA1259"
"AAG04649","AAG04649","PA1260"
"AAG04650","AAG04650","PA1261"
"AAG04651","AAG04651","PA1262"
"AAG04652","AAG04652","PA1263"
"AAG04653","AAG04653","PA1264"
"AAG04654","AAG04654","PA1265"
"AAG04655","AAG04655","PA1266"
"AAG04656","AAG04656","PA1267"
"AAG04657","AAG04657","PA1268"
"AAG04658","AAG04658","PA1269"
"AAG04659","AAG04659","PA1270"
"AAG04660","AAG04660","PA1271"
"AAG04661","AAG04661","PA1272"
"AAG04662","AAG04662","PA1273"
"AAG04663","AAG04663","PA1274"
"AAG04664","AAG04664","PA1275"
"AAG04665","AAG04665","PA1276"
"AAG04666","AAG04666","PA1277"
"AAG04667","AAG04667","PA1278"
"AAG04668","AAG04668","PA1279"
"AAG04669","AAG04669","PA1280"
"AAG04670","AAG04670","PA1281"
"AAG04671","AAG04671","PA1282"
"AAG04672","AAG04672","PA1283"
"AAG04673","AAG04673","PA1284"
"AAG04674","AAG04674","PA1285"
"AAG04675","AAG04675","PA1286"
"AAG04676","AAG04676","PA1287"
"AAG04677","AAG04677","PA1288"
"AAG04678","AAG04678","PA1289"
"AAG04679","AAG04679","PA1290"
"AAG04680","AAG04680","PA1291"
"AAG04681","AAG04681","PA1292"
"AAG04682","AAG04682","PA1293"
"AAG04683","AAG04683","PA1294"
"AAG04684","AAG04684","PA1295"
"AAG04685","AAG04685","PA1296"
"AAG04686","AAG04686","PA1297"
"AAG04687","AAG04687","PA1298"
"AAG04688","AAG04688","PA1299"
"AAG04689","AAG04689","PA1300"
"AAG04690","AAG04690","PA1301"
"AAG04691","AAG04691","PA1302"
"AAG04692","AAG04692","PA1303"
"AAG04693","AAG04693","PA1304"
"AAG04694","AAG04694","PA1305"
"AAG04695","AAG04695","PA1306"
"AAG04696","AAG04696","PA1307"
"AAG04697","AAG04697","PA1308"
"AAG04698","AAG04698","PA1309"
"AAG04699","AAG04699","PA1310"
"AAG04700","AAG04700","PA1311"
"AAG04701","AAG04701","PA1312"
"AAG04702","AAG04702","PA1313"
"AAG04703","AAG04703","PA1314"
"AAG04704","AAG04704","PA1315"
"AAG04705","AAG04705","PA1316"
"AAG04706","AAG04706","PA1317"
"AAG04707","AAG04707","PA1318"
"AAG04708","AAG04708","PA1319"
"AAG04709","AAG04709","PA1320"
"AAG04710","AAG04710","PA1321"
"AAG04711","AAG04711","PA1322"
"AAG04712","AAG04712","PA1323"
"AAG04713","AAG04713","PA1324"
"AAG04714","AAG04714","PA1325"
"AAG04715","AAG04715","PA1326"
"AAG04716","AAG04716","PA1327"
"AAG04717","AAG04717","PA1328"
"AAG04718","AAG04718","PA1329"
"AAG04719","AAG04719","PA1330"
"AAG04720","AAG04720","PA1331"
"AAG04721","AAG04721","PA1332"
"AAG04722","AAG04722","PA1333"
"AAG04723","AAG04723","PA1334"
"AAG04724","AAG04724","PA1335"
"AAG04725","AAG04725","PA1336"
"AAG04726","AAG04726","PA1337"
"AAG04727","AAG04727","PA1338"
"AAG04728","AAG04728","PA1339"
"AAG04729","AAG04729","PA1340"
"AAG04730","AAG04730","PA1341"
"AAG04731","AAG04731","PA1342"
"AAG04732","AAG04732","PA1343"
"AAG04733","AAG04733","PA1344"
"AAG04734","AAG04734","PA1345"
"AAG04735","AAG04735","PA1346"
"AAG04736","AAG04736","PA1347"
"AAG04737","AAG04737","PA1348"
"AAG04738","AAG04738","PA1349"
"AAG04739","AAG04739","PA1350"
"AAG04740","AAG04740","PA1351"
"AAG04741","AAG04741","PA1352"
"AAG04742","AAG04742","PA1353"
"AAG04743","AAG04743","PA1354"
"AAG04744","AAG04744","PA1355"
"AAG04745","AAG04745","PA1356"
"AAG04746","AAG04746","PA1357"
"AAG04747","AAG04747","PA1358"
"AAG04748","AAG04748","PA1359"
"AAG04749","AAG04749","PA1360"
"AAG04750","AAG04750","PA1361"
"AAG04751","AAG04751","PA1362"
"AAG04752","AAG04752","PA1363"
"AAG04753","AAG04753","PA1364"
"AAG04754","AAG04754","PA1365"
"AAG04755","AAG04755","PA1366"
"AAG04756","AAG04756","PA1367"
"AAG04757","AAG04757","PA1368"
"AAG04758","AAG04758","PA1369"
"AAG04759","AAG04759","PA1370"
"AAG04760","AAG04760","PA1371"
"AAG04761","AAG04761","PA1372"
"AAG04762","AAG04762","PA1373"
"AAG04763","AAG04763","PA1374"
"AAG04764","AAG04764","PA1375"
"AAG04765","AAG04765","PA1376"
"AAG04766","AAG04766","PA1377"
"AAG04767","AAG04767","PA1378"
"AAG04768","AAG04768","PA1379"
"AAG04769","AAG04769","PA1380"
"AAG04770","AAG04770","PA1381"
"AAG04771","AAG04771","PA1382"
"AAG04772","AAG04772","PA1383"
"AAG04773","AAG04773","PA1384"
"AAG04774","AAG04774","PA1385"
"AAG04775","AAG04775","PA1386"
"AAG04776","AAG04776","PA1387"
"AAG04777","AAG04777","PA1388"
"AAG04778","AAG04778","PA1389"
"AAG04779","AAG04779","PA1390"
"AAG04780","AAG04780","PA1391"
"AAG04781","AAG04781","PA1392"
"AAG04782","AAG04782","PA1393"
"AAG04783","AAG04783","PA1394"
"AAG04784","AAG04784","PA1395"
"AAG04785","AAG04785","PA1396"
"AAG04786","AAG04786","PA1397"
"AAG04787","AAG04787","PA1398"
"AAG04788","AAG04788","PA1399"
"AAG04789","AAG04789","PA1400"
"AAG04790","AAG04790","PA1401"
"AAG04791","AAG04791","PA1402"
"AAG04792","AAG04792","PA1403"
"AAG04793","AAG04793","PA1404"
"AAG04794","AAG04794","PA1405"
"AAG04795","AAG04795","PA1406"
"AAG04796","AAG04796","PA1407"
"AAG04797","AAG04797","PA1408"
"AAG04798","AAG04798","PA1409"
"AAG04799","AAG04799","PA1410"
"AAG04800","AAG04800","PA1411"
"AAG04801","AAG04801","PA1412"
"AAG04802","AAG04802","PA1413"
"AAG04803","AAG04803","PA1414"
"AAG04804","AAG04804","PA1415"
"AAG04805","AAG04805","PA1416"
"AAG04806","AAG04806","PA1417"
"AAG04807","AAG04807","PA1418"
"AAG04808","AAG04808","PA1419"
"AAG04809","AAG04809","PA1420"
"AAG04810","AAG04810","PA1421"
"AAG04811","AAG04811","PA1422"
"AAG04812","AAG04812","PA1423"
"AAG04813","AAG04813","PA1424"
"AAG04814","AAG04814","PA1425"
"AAG04815","AAG04815","PA1426"
"AAG04816","AAG04816","PA1427"
"AAG04817","AAG04817","PA1428"
"AAG04818","AAG04818","PA1429"
"AAG04819","AAG04819","PA1430"
"AAG04820","AAG04820","PA1431"
"AAG04821","AAG04821","PA1432"
"AAG04822","AAG04822","PA1433"
"AAG04823","AAG04823","PA1434"
"AAG04824","AAG04824","PA1435"
"AAG04825","AAG04825","PA1436"
"AAG04826","AAG04826","PA1437"
"AAG04827","AAG04827","PA1438"
"AAG04828","AAG04828","PA1439"
"AAG04829","AAG04829","PA1440"
"AAG04830","AAG04830","PA1441"
"AAG04831","AAG04831","PA1442"
"AAG04832","AAG04832","PA1443"
"AAG04833","AAG04833","PA1444"
"AAG04834","AAG04834","PA1445"
"AAG04835","AAG04835","PA1446"
"AAG04836","AAG04836","PA1447"
"AAG04837","AAG04837","PA1448"
"AAG04838","AAG04838","PA1449"
"AAG04839","AAG04839","PA1450"
"AAG04840","AAG04840","PA1451"
"AAG04841","AAG04841","PA1452"
"AAG04842","AAG04842","PA1453"
"AAG04843","AAG04843","PA1454"
"AAG04844","AAG04844","PA1455"
"AAG04845","AAG04845","PA1456"
"AAG04846","AAG04846","PA1457"
"AAG04847","AAG04847","PA1458"
"AAG04848","AAG04848","PA1459"
"AAG04849","AAG04849","PA1460"
"AAG04850","AAG04850","PA1461"
"AAG04851","AAG04851","PA1462"
"AAG04852","AAG04852","PA1463"
"AAG04853","AAG04853","PA1464"
"AAG04854","AAG04854","PA1465"
"AAG04855","AAG04855","PA1466"
"AAG04856","AAG04856","PA1467"
