"","X1","X2"
"ABJ15092","ABJ15092","PA14_01670"
"ABJ15093","ABJ15093","PA14_01680"
"ABJ15094","ABJ15094","PA14_01690"
"ABJ15095","ABJ15095","PA14_01710"
"ABJ15096","ABJ15096","PA14_01720"
"ABJ15097","ABJ15097","PA14_01730"
"ABJ15098","ABJ15098","PA14_01750"
"ABJ15099","ABJ15099","PA14_01760"
"ABJ15100","ABJ15100","PA14_01770"
"ABJ15101","ABJ15101","PA14_01780"
"ABJ15102","ABJ15102","PA14_01790"
"ABJ15103","ABJ15103","PA14_01800"
"ABJ15104","ABJ15104","PA14_01810"
"ABJ15105","ABJ15105","PA14_01830"
"ABJ15106","ABJ15106","PA14_01840"
"ABJ15107","ABJ15107","PA14_01860"
"ABJ15108","ABJ15108","PA14_01870"
"ABJ15109","ABJ15109","PA14_01890"
"ABJ15110","ABJ15110","PA14_01900"
"ABJ15111","ABJ15111","PA14_01910"
"ABJ15112","ABJ15112","PA14_01930"
"ABJ15113","ABJ15113","PA14_01940"
"ABJ15114","ABJ15114","PA14_01960"
"ABJ15115","ABJ15115","PA14_01970"
"ABJ15116","ABJ15116","PA14_01980"
"ABJ15117","ABJ15117","PA14_01990"
"ABJ15118","ABJ15118","PA14_02010"
"ABJ15119","ABJ15119","PA14_02020"
"ABJ15120","ABJ15120","PA14_02030"
"ABJ15121","ABJ15121","PA14_02050"
"ABJ15122","ABJ15122","PA14_02060"
"ABJ15123","ABJ15123","PA14_02070"
"ABJ15124","ABJ15124","PA14_02090"
"ABJ15125","ABJ15125","PA14_02100"
"ABJ15126","ABJ15126","PA14_02110"
"ABJ15127","ABJ15127","PA14_02130"
"ABJ15128","ABJ15128","PA14_02140"
"ABJ15129","ABJ15129","PA14_02150"
"ABJ15130","ABJ15130","PA14_02180"
"ABJ15131","ABJ15131","PA14_02190"
"ABJ15132","ABJ15132","PA14_02200"
"ABJ15133","ABJ15133","PA14_02220"
"ABJ15134","ABJ15134","PA14_02230"
"ABJ15135","ABJ15135","PA14_02250"
"ABJ15136","ABJ15136","PA14_02260"
"ABJ15137","ABJ15137","PA14_02270"
"ABJ15138","ABJ15138","PA14_02290"
"ABJ15139","ABJ15139","PA14_02300"
"ABJ15140","ABJ15140","PA14_02310"
"ABJ15141","ABJ15141","PA14_02330"
"ABJ15142","ABJ15142","PA14_02340"
"ABJ15143","ABJ15143","PA14_02360"
"ABJ15144","ABJ15144","PA14_02370"
"ABJ15145","ABJ15145","PA14_02380"
"ABJ15146","ABJ15146","PA14_02390"
"ABJ15147","ABJ15147","PA14_02410"
"ABJ15148","ABJ15148","PA14_02420"
"ABJ15642","ABJ15642","PA14_02435"
"ABJ15149","ABJ15149","PA14_02450"
"ABJ15150","ABJ15150","PA14_02460"
"ABJ15151","ABJ15151","PA14_02470"
"ABJ15152","ABJ15152","PA14_02490"
"ABJ15153","ABJ15153","PA14_02500"
"ABJ15154","ABJ15154","PA14_02510"
"ABJ15155","ABJ15155","PA14_02520"
"ABJ15156","ABJ15156","PA14_02530"
"ABJ15157","ABJ15157","PA14_02550"
"ABJ15158","ABJ15158","PA14_02560"
"ABJ15159","ABJ15159","PA14_02570"
"ABJ15160","ABJ15160","PA14_02580"
"ABJ15161","ABJ15161","PA14_02590"
"ABJ15162","ABJ15162","PA14_02610"
"ABJ15163","ABJ15163","PA14_02620"
"ABJ15164","ABJ15164","PA14_02630"
"ABJ15165","ABJ15165","PA14_02640"
"ABJ15166","ABJ15166","PA14_02650"
"ABJ15167","ABJ15167","PA14_02660"
"ABJ15168","ABJ15168","PA14_02680"
"ABJ15169","ABJ15169","PA14_02690"
"ABJ15170","ABJ15170","PA14_02700"
"ABJ15171","ABJ15171","PA14_02720"
"ABJ15172","ABJ15172","PA14_02730"
"ABJ15173","ABJ15173","PA14_02740"
"ABJ15174","ABJ15174","PA14_02750"
"ABJ15175","ABJ15175","PA14_02760"
"ABJ15176","ABJ15176","PA14_02770"
"ABJ15177","ABJ15177","PA14_02790"
"ABJ15178","ABJ15178","PA14_02810"
"ABJ15179","ABJ15179","PA14_02830"
"ABJ15180","ABJ15180","PA14_02840"
"ABJ15181","ABJ15181","PA14_02850"
"ABJ15182","ABJ15182","PA14_02870"
"ABJ15183","ABJ15183","PA14_02890"
"ABJ15184","ABJ15184","PA14_02900"
"ABJ15185","ABJ15185","PA14_02910"
"ABJ15186","ABJ15186","PA14_02930"
"ABJ15187","ABJ15187","PA14_02960"
"ABJ15188","ABJ15188","PA14_02970"
"ABJ15189","ABJ15189","PA14_02980"
"ABJ15190","ABJ15190","PA14_02990"
"ABJ15191","ABJ15191","PA14_03000"
"ABJ15192","ABJ15192","PA14_03010"
"ABJ15193","ABJ15193","PA14_03020"
"ABJ15194","ABJ15194","PA14_03030"
"ABJ15195","ABJ15195","PA14_03040"
"ABJ15196","ABJ15196","PA14_03050"
"ABJ15197","ABJ15197","PA14_03070"
"ABJ15198","ABJ15198","PA14_03080"
"ABJ15199","ABJ15199","PA14_03090"
"ABJ15200","ABJ15200","PA14_03100"
"ABJ15201","ABJ15201","PA14_03110"
"ABJ15202","ABJ15202","PA14_03120"
"ABJ15203","ABJ15203","PA14_03130"
"ABJ15204","ABJ15204","PA14_03150"
"ABJ15205","ABJ15205","PA14_03160"
"ABJ15668","ABJ15668","PA14_03163"
"ABJ15667","ABJ15667","PA14_03166"
"ABJ15206","ABJ15206","PA14_03170"
"ABJ15207","ABJ15207","PA14_03180"
"ABJ15208","ABJ15208","PA14_03190"
"ABJ15209","ABJ15209","PA14_03200"
"ABJ15210","ABJ15210","PA14_03210"
"ABJ15211","ABJ15211","PA14_03220"
"ABJ15212","ABJ15212","PA14_03240"
"ABJ15213","ABJ15213","PA14_03250"
"ABJ15670","ABJ15670","PA14_03265"
"ABJ15214","ABJ15214","PA14_03270"
"ABJ15669","ABJ15669","PA14_03285"
"ABJ15215","ABJ15215","PA14_03290"
"ABJ15216","ABJ15216","PA14_03300"
"ABJ15217","ABJ15217","PA14_03310"
"ABJ15218","ABJ15218","PA14_03320"
"ABJ15219","ABJ15219","PA14_03330"
"ABJ15220","ABJ15220","PA14_03340"
"ABJ15221","ABJ15221","PA14_03350"
"ABJ15222","ABJ15222","PA14_03360"
"ABJ15223","ABJ15223","PA14_03370"
"ABJ15224","ABJ15224","PA14_03380"
"ABJ15225","ABJ15225","PA14_03390"
"ABJ15226","ABJ15226","PA14_03400"
"ABJ15227","ABJ15227","PA14_03420"
"ABJ15228","ABJ15228","PA14_03430"
"ABJ15229","ABJ15229","PA14_03450"
"ABJ15230","ABJ15230","PA14_03470"
"ABJ15231","ABJ15231","PA14_03480"
"ABJ15232","ABJ15232","PA14_03490"
"ABJ15233","ABJ15233","PA14_03510"
"ABJ15234","ABJ15234","PA14_03520"
"ABJ15235","ABJ15235","PA14_03530"
"ABJ15236","ABJ15236","PA14_03550"
"ABJ15237","ABJ15237","PA14_03560"
"ABJ15238","ABJ15238","PA14_03580"
"ABJ15239","ABJ15239","PA14_03590"
"ABJ15240","ABJ15240","PA14_03610"
"ABJ15241","ABJ15241","PA14_03620"
"ABJ15242","ABJ15242","PA14_03630"
"ABJ15243","ABJ15243","PA14_03650"
"ABJ15244","ABJ15244","PA14_03670"
"ABJ15245","ABJ15245","PA14_03680"
"ABJ15246","ABJ15246","PA14_03700"
"ABJ15247","ABJ15247","PA14_03710"
"ABJ15248","ABJ15248","PA14_03720"
"ABJ15249","ABJ15249","PA14_03730"
"ABJ15250","ABJ15250","PA14_03760"
"ABJ15251","ABJ15251","PA14_03770"
"ABJ15252","ABJ15252","PA14_03780"
"ABJ15253","ABJ15253","PA14_03790"
"ABJ15254","ABJ15254","PA14_03800"
"ABJ15255","ABJ15255","PA14_03810"
"ABJ15256","ABJ15256","PA14_03830"
"ABJ15257","ABJ15257","PA14_03840"
"ABJ15639","ABJ15639","PA14_03855"
"ABJ15258","ABJ15258","PA14_03860"
"ABJ15259","ABJ15259","PA14_03870"
"ABJ15260","ABJ15260","PA14_03880"
"ABJ15261","ABJ15261","PA14_03900"
"ABJ15262","ABJ15262","PA14_03920"
"ABJ15263","ABJ15263","PA14_03930"
"ABJ15264","ABJ15264","PA14_03940"
"ABJ15265","ABJ15265","PA14_03950"
"ABJ15266","ABJ15266","PA14_03960"
"ABJ15267","ABJ15267","PA14_03980"
"ABJ15268","ABJ15268","PA14_04000"
"ABJ15269","ABJ15269","PA14_04010"
"ABJ15271","ABJ15271","PA14_04020"
"ABJ15270","ABJ15270","PA14_04030"
"ABJ15272","ABJ15272","PA14_04040"
"ABJ15273","ABJ15273","PA14_04050"
"ABJ15274","ABJ15274","PA14_04060"
"ABJ15275","ABJ15275","PA14_04070"
"ABJ15276","ABJ15276","PA14_04080"
"ABJ15277","ABJ15277","PA14_04090"
"ABJ15278","ABJ15278","PA14_04100"
"ABJ15279","ABJ15279","PA14_04110"
"ABJ15280","ABJ15280","PA14_04140"
"ABJ15281","ABJ15281","PA14_04150"
"ABJ15282","ABJ15282","PA14_04160"
"ABJ15283","ABJ15283","PA14_04180"
"ABJ15284","ABJ15284","PA14_04190"
"ABJ15285","ABJ15285","PA14_04210"
"ABJ15286","ABJ15286","PA14_04220"
"ABJ15287","ABJ15287","PA14_04230"
"ABJ15288","ABJ15288","PA14_04240"
"ABJ15289","ABJ15289","PA14_04250"
"ABJ15290","ABJ15290","PA14_04270"
"ABJ15291","ABJ15291","PA14_04290"
"ABJ15292","ABJ15292","PA14_04300"
"ABJ15293","ABJ15293","PA14_04310"
"ABJ15294","ABJ15294","PA14_04320"
"ABJ15295","ABJ15295","PA14_04330"
"ABJ15296","ABJ15296","PA14_04340"
"ABJ15297","ABJ15297","PA14_04350"
"ABJ15298","ABJ15298","PA14_04370"
"ABJ15299","ABJ15299","PA14_04380"
"ABJ15300","ABJ15300","PA14_04390"
